WTeamID,GameID,WLoc,WScore,WAst,WOR,WDR,WTO,WStl,WBlk,LTeamID,W3Pt%,WFT%,CityID,City,State,TeamName
1101,1381101,N,53,9,13,17,9,11,0,1400,0.16666666666666666,0.8333333333333334,4161,Indianapolis,IN,Abilene Chr
1104,1401104,N,96,19,15,24,9,5,4,1268,0.48484848484848486,1.0,4161,Indianapolis,IN,Alabama
1104,1381104,N,68,10,10,27,14,10,3,1233,0.3125,0.5652173913043478,4161,Indianapolis,IN,Alabama
1116,1371116,N,85,11,10,25,10,13,4,1159,0.3125,0.7586206896551724,4161,Indianapolis,IN,Arkansas
1116,1451116,N,72,13,16,28,10,7,3,1331,0.1111111111111111,0.8666666666666667,4161,Indianapolis,IN,Arkansas
1116,1391116,N,68,10,9,26,9,0,1,1403,0.23529411764705882,0.7058823529411765,4161,Indianapolis,IN,Arkansas
1124,1541124,N,86,18,14,20,7,8,5,1211,0.43478260869565216,0.8888888888888888,4161,Indianapolis,IN,Baylor
1124,1521124,N,78,23,11,17,8,6,0,1222,0.4583333333333333,0.6923076923076923,4161,Indianapolis,IN,Baylor
1124,1471124,N,81,17,10,16,8,9,5,1116,0.5333333333333333,0.7647058823529411,4161,Indianapolis,IN,Baylor
1124,1451124,N,62,9,11,16,5,8,5,1437,0.15789473684210525,0.7,4161,Indianapolis,IN,Baylor
1124,1371124,N,79,16,14,28,10,15,6,1216,0.3333333333333333,0.6,4161,Indianapolis,IN,Baylor
1124,1391124,N,76,15,5,20,4,6,0,1458,0.47058823529411764,0.782608695652174,4161,Indianapolis,IN,Baylor
1160,1381160,N,96,27,1,25,11,3,3,1207,0.64,0.8571428571428571,4161,Indianapolis,IN,Colorado
1166,1401166,N,72,12,7,28,11,5,2,1325,0.42857142857142855,0.6923076923076923,4161,Indianapolis,IN,Creighton
1166,1381166,N,63,18,7,21,8,4,3,1364,0.28,0.5714285714285714,4161,Indianapolis,IN,Creighton
1179,1361179,N,53,13,5,27,11,4,5,1455,0.3684210526315789,0.6,4365,West Lafayette,IN,Drake
1196,1371196,N,75,9,5,30,15,5,3,1439,0.38461538461538464,0.6666666666666666,4161,Indianapolis,IN,Florida
1199,1401199,N,71,16,5,19,13,10,3,1160,0.35294117647058826,0.8095238095238095,4161,Indianapolis,IN,Florida St
1199,1381199,N,64,15,5,30,13,3,6,1422,0.0,0.7,4161,Indianapolis,IN,Florida St
1211,1521211,N,93,25,4,19,10,8,3,1417,0.3333333333333333,0.6,4161,Indianapolis,IN,Gonzaga
1211,1381211,N,98,27,9,33,11,8,3,1313,0.5185185185185185,0.8888888888888888,4161,Indianapolis,IN,Gonzaga
1211,1401211,N,87,12,9,22,10,7,2,1328,0.36363636363636365,0.8846153846153846,4161,Indianapolis,IN,Gonzaga
1211,1481211,N,85,21,11,27,9,6,3,1425,0.3333333333333333,0.7058823529411765,4161,Indianapolis,IN,Gonzaga
1211,1461211,N,83,23,6,28,16,5,2,1166,0.375,0.6,4161,Indianapolis,IN,Gonzaga
1222,1371222,N,87,12,15,19,9,7,7,1156,0.28,0.7586206896551724,4032,Bloomington,IN,Houston
1222,1391222,N,63,11,14,19,10,9,4,1353,0.36363636363636365,0.6111111111111112,4161,Indianapolis,IN,Houston
1222,1471222,N,67,17,18,20,6,6,3,1333,0.34375,0.6666666666666666,4161,Indianapolis,IN,Houston
1222,1451222,N,62,15,11,22,7,8,4,1393,0.2692307692307692,0.6428571428571429,4161,Indianapolis,IN,Houston
1228,1371228,N,78,19,5,33,5,5,3,1180,0.2857142857142857,0.5,4161,Indianapolis,IN,Illinois
1234,1381234,N,86,17,9,23,6,4,6,1213,0.45454545454545453,0.75,4161,Indianapolis,IN,Iowa
1242,1381242,N,93,20,9,23,5,7,3,1186,0.4,0.8125,4161,Indianapolis,IN,Kansas
1260,1391260,N,71,16,6,22,10,12,4,1228,0.4,0.6818181818181818,4161,Indianapolis,IN,Loyola-Chicago
1260,1371260,N,71,18,12,17,9,5,0,1210,0.4074074074074074,0.6666666666666666,4161,Indianapolis,IN,Loyola-Chicago
1261,1381261,N,76,11,13,32,7,2,5,1382,0.32,0.8181818181818182,4032,Bloomington,IN,LSU
1268,1381268,N,63,13,3,24,10,4,4,1163,0.5,0.7142857142857143,4365,West Lafayette,IN,Maryland
1276,1401276,N,86,22,5,29,11,1,4,1261,0.4,0.8,4161,Indianapolis,IN,Michigan
1276,1461276,N,76,19,9,25,7,4,3,1199,0.2727272727272727,0.6521739130434783,4161,Indianapolis,IN,Michigan
1276,1381276,N,82,19,9,24,14,4,4,1411,0.34615384615384615,0.8076923076923077,4365,West Lafayette,IN,Michigan
1313,1361313,N,54,10,5,24,9,10,4,1111,0.3888888888888889,0.7777777777777778,4032,Bloomington,IN,Norfolk St
1317,1371317,N,78,14,6,22,5,4,3,1345,0.42857142857142855,0.8666666666666667,4161,Indianapolis,IN,North Texas
1325,1381325,N,62,12,5,30,9,1,2,1438,0.30434782608695654,0.9285714285714286,4032,Bloomington,IN,Ohio
1328,1381328,N,72,14,6,23,6,5,4,1281,0.4666666666666667,0.7916666666666666,4161,Indianapolis,IN,Oklahoma
1329,1371329,N,69,5,11,24,13,9,7,1251,0.2,0.6896551724137931,4161,Indianapolis,IN,Oklahoma St
1331,1371331,N,75,13,8,22,6,10,1,1326,0.3142857142857143,0.7777777777777778,4365,West Lafayette,IN,Oral Roberts
1331,1391331,N,81,12,5,15,11,12,0,1196,0.3333333333333333,0.8260869565217391,4161,Indianapolis,IN,Oral Roberts
1332,1401332,N,95,25,7,23,10,7,6,1234,0.44,0.7272727272727273,4161,Indianapolis,IN,Oregon
1333,1451333,N,65,13,8,22,7,4,2,1260,0.38461538461538464,0.9,4161,Indianapolis,IN,Oregon St
1333,1391333,N,80,7,8,41,17,2,11,1329,0.3,0.9142857142857143,4161,Indianapolis,IN,Oregon St
1333,1371333,N,70,20,10,30,14,5,6,1397,0.47619047619047616,0.6,4161,Indianapolis,IN,Oregon St
1353,1371353,N,60,11,12,24,13,6,5,1155,0.26666666666666666,0.6666666666666666,4161,Indianapolis,IN,Rutgers
1393,1371393,N,78,14,4,24,12,0,8,1361,0.5555555555555556,0.8461538461538461,4161,Indianapolis,IN,Syracuse
1393,1391393,N,75,18,4,23,15,6,6,1452,0.45161290322580644,0.6363636363636364,4161,Indianapolis,IN,Syracuse
1403,1371403,N,65,15,6,20,7,8,3,1429,0.3888888888888889,0.75,4032,Bloomington,IN,Texas Tech
1411,1361411,N,60,9,9,26,5,2,2,1291,0.42857142857142855,0.5263157894736842,4032,Bloomington,IN,TX Southern
1417,1361417,N,86,13,11,18,8,2,3,1277,0.5,0.75,4365,West Lafayette,IN,UCLA
1417,1381417,N,73,10,8,20,3,3,3,1140,0.42105263157894735,0.5625,4161,Indianapolis,IN,UCLA
1417,1401417,N,67,15,11,30,7,4,4,1101,0.3684210526315789,0.46153846153846156,4161,Indianapolis,IN,UCLA
1417,1461417,N,88,12,12,26,7,8,7,1104,0.3448275862068966,0.8,4161,Indianapolis,IN,UCLA
1417,1481417,N,51,12,6,21,8,5,2,1276,0.23076923076923078,0.8571428571428571,4161,Indianapolis,IN,UCLA
1425,1381425,N,72,20,9,26,8,3,7,1179,0.3333333333333333,0.5333333333333333,4161,Indianapolis,IN,USC
1425,1461425,N,82,15,8,20,13,5,4,1332,0.5882352941176471,0.8333333333333334,4161,Indianapolis,IN,USC
1425,1401425,N,85,18,6,32,13,3,4,1242,0.6111111111111112,0.5882352941176471,4161,Indianapolis,IN,USC
1437,1391437,N,84,19,6,20,5,6,1,1317,0.5,0.7777777777777778,4161,Indianapolis,IN,Villanova
1437,1371437,N,73,11,6,25,6,3,8,1457,0.32,0.7307692307692307,4161,Indianapolis,IN,Villanova
1452,1371452,N,84,16,9,15,6,10,4,1287,0.5,0.7333333333333333,4161,Indianapolis,IN,West Virginia
1458,1371458,N,85,15,7,27,6,5,8,1314,0.48148148148148145,0.8333333333333334,4365,West Lafayette,IN,Wisconsin
